[Timex Trainer Data File]
[session data]
version=1.2_mm/dd/yyyy
Sessiondate=1/6/2005 12:03:12
sportName=Running
sportID=3
distanceunit=mi
avgspeedunit=0
maxspeedunit=0
avgpaceunits=0
maxpaceunits=0
distance=3.75
duration=1937
description=Sample workout - run around Timex neighborhood^^   speed/distance/position/altitude
sessionType=5
maxHR=0
maxSpeed=9.8
avgHR=0
avgSpeed=6.99
fromDataRecorder=True
TimeZone1=0
TimeZone2=0
TimeZone3=0
TimeZone4=0
TimeZone5=0

[recorded]
duration(s),hr,speed(mph),distance(mi),data_flag,longitude,latitude,altitude,acqstatus,trueheading,magheading
"278.46","0","9","0.629","2","-73.14253","41.51268","633","3","16","30"
"282.03","0","9.7","0.639","2","-73.14245","41.51276","623","3","10","24"
"285.6","0","8.9","0.646","2","-73.14245","41.51276","618","3","10","24"
"289.17","0","8","0.654","2","-73.14232","41.513","614","3","24","38"
"292.74","0","8.2","0.662","2","-73.14227","41.51308","607","3","20","34"
"296.31","0","8.2","0.671","2","-73.14227","41.51308","605","3","20","34"
"299.88","0","8.2","0.68","2","-73.14208","41.51328","604","3","22","36"
"303.45","0","8.7","0.688","2","-73.142","41.51341","605","3","24","38"
"307.02","0","7.1","0.694","2","-73.14195","41.51347","602","3","22","36"
"310.59","0","6.8","0.701","2","-73.14187","41.51356","599","3","26","40"
"314.16","0","6","0.707","2","-73.14174","41.51362","633","3","34","48"
"317.73","0","6.8","0.715","2","-73.14165","41.51369","636","3","30","44"
"321.3","0","7.2","0.722","2","-73.14161","41.51379","640","3","32","46"
"324.87","0","7.2","0.729","2","-73.14154","41.51386","640","3","30","44"
"328.44","0","6.4","0.734","2","-73.14146","41.51392","639","3","28","42"
"332.01","0","6.7","0.741","2","-73.1414","41.51398","639","3","26","40"
"335.58","0","6.4","0.748","2","-73.1414","41.51398","637","3","26","40"
"339.15","0","6","0.755","2","-73.1414","41.51398","636","3","26","40"
"342.72","0","5.6","0.763","2","-73.14118","41.51427","635","3","28","42"
"346.29","0","4.7","0.767","2","-73.14114","41.51433","653","3","30","44"
"349.86","0","4.9","0.773","2","-73.14108","41.51439","660","3","24","38"
"353.43","0","6.1","0.78","2","-73.14108","41.51439","654","3","24","38"
"357","0","7.4","0.788","2","-73.14095","41.51456","648","3","20","34"
"360.57","0","5.6","0.792","2","-73.1409","41.51463","655","3","24","38"
"364.14","0","7.2","0.8","2","-73.1409","41.51463","654","3","24","38"
"367.71","0","8.8","0.808","2","-73.14075","41.51482","654","3","14","28"
"371.28","0","7.5","0.815","2","-73.14066","41.51493","645","3","18","32"
"374.85","0","6.9","0.821","2","-73.14064","41.515","639","3","18","32"
"378.42","0","6.8","0.828","2","-73.1406","41.5151","639","3","18","32"
"381.99","0","7.8","0.836","2","-73.14053","41.51519","640","3","20","36"
"385.56","0","7.8","0.843","2","-73.14053","41.51519","636","3","20","36"
"389.13","0","7.8","0.85","2","-73.14053","41.51519","632","3","20","36"
"392.7","0","7.8","0.857","2","-73.14053","41.51519","628","3","20","36"
"396.27","0","7.9","0.864","2","-73.1403","41.51558","625","3","8","24"
"399.84","0","7.9","0.872","2","-73.14024","41.51566","627","3","10","24"
"403.41","0","8.5","0.88","2","-73.14019","41.51579","623","3","18","32"
