[Timex Trainer Data File]
[session data]
version=1.2_mm/dd/yyyy
Sessiondate=1/7/2005 12:00:43
sportName=Running
sportID=3
distanceunit=mi
avgspeedunit=0
maxspeedunit=0
avgpaceunits=0
maxpaceunits=0
distance=3.999
duration=2677
description=Sample workout - a run near Timex building^^speed/distance/position/altitude PLUS Heart Rate
sessionType=20
maxHR=192
maxSpeed=7.8
avgHR=169
avgSpeed=5.4
fromDataRecorder=True
TimeZone1=60
TimeZone2=120
TimeZone3=60
TimeZone4=240
TimeZone5=2160

[recorded]
duration(s),hr,speed(mph),distance(mi),data_flag,longitude,latitude,altitude,acqstatus,trueheading,magheading
"238","163","0","0","0","0","0","0","0","0","0"
"240","164","0","0","0","0","0","0","0","0","0"
"242","166","0","0","0","0","0","0","0","0","0"
"244","166","0","0","0","0","0","0","0","0","0"
"246","166","0","0","0","0","0","0","0","0","0"
"248","166","0","0","0","0","0","0","0","0","0"
"250","166","0","0","0","0","0","0","0","0","0"
"252","167","0","0","0","0","0","0","0","0","0"
"254","168","0","0","0","0","0","0","0","0","0"
"256","169","0","0","0","0","0","0","0","0","0"
"258","167","0","0","0","0","0","0","0","0","0"
"260","169","0","0","0","0","0","0","0","0","0"
"262","167","0","0","0","0","0","0","0","0","0"
"264","164","0","0","0","0","0","0","0","0","0"
"266","164","0","0","0","0","0","0","0","0","0"
"268","164","0","0","0","0","0","0","0","0","0"
"270","163","0","0","0","0","0","0","0","0","0"
"272","163","0","0","0","0","0","0","0","0","0"
"274","163","0","0","0","0","0","0","0","0","0"
"276","163","0","0","0","0","0","0","0","0","0"
"278","163","0","0","0","0","0","0","0","0","0"
"280","163","0","0","0","0","0","0","0","0","0"
"282","166","0","0","0","0","0","0","0","0","0"
"284","164","0","0","0","0","0","0","0","0","0"
"286","163","0","0","0","0","0","0","0","0","0"
"288","164","0","0","0","0","0","0","0","0","0"
"290","164","0","0","0","0","0","0","0","0","0"
"292","164","0","0","0","0","0","0","0","0","0"
"294","166","0","0","0","0","0","0","0","0","0"
"296","167","0","0","0","0","0","0","0","0","0"
"298","169","0","0","0","0","0","0","0","0","0"
"300","169","0","0","0","0","0","0","0","0","0"
"302","168","0","0","0","0","0","0","0","0","0"
"304","167","0","0","0","0","0","0","0","0","0"
"306","167","0","0","0","0","0","0","0","0","0"
"308","169","0","0","0","0","0","0","0","0","0"
"310","169","0","0","0","0","0","0","0","0","0"
"312","172","0","0","0","0","0","0","0","0","0"
"314","172","0","0","0","0","0","0","0","0","0"
"316","172","0","0","0","0","0","0","0","0","0"
"318","172","0","0","0","0","0","0","0","0","0"
"320","172","0","0","0","0","0","0","0","0","0"
"322","172","0","0","0","0","0","0","0","0","0"
