[Timex Trainer Data File]
[session data]
version=1.0
Sessiondate=1/3/2005 2:45:06 PM
sportName=Running
sportID=3
distanceunit=mi
avgspeedunit=0
maxspeedunit=0
avgpaceunits=0
maxpaceunits=0
distance=11.2
duration=5326
description=Sample Workout - Heart Rate and Speed & Distance
sessionType=20
maxHR=179
maxSpeed=15.8
avgHR=153
avgSpeed=7.34
fromDataRecorder=True
TimeZone1=240
TimeZone2=360
TimeZone3=1080
TimeZone4=1620
TimeZone5=2040

[recorded]
duration(s),hr,speed(mph),distance(mi),data_flag
584,148,0,0,0
586,148,0,0,0
588,148,0,0,0
590,142,0,0,0
592,142,0,0,0
594,142,0,0,0
596,145,0,0,0
598,144,0,0,0
600,144,0,0,0
602,145,0,0,0
604,145,0,0,0
606,145,0,0,0
608,145,0,0,0
610,145,0,0,0
612,145,0,0,0
614,145,0,0,0
616,145,0,0,0
618,145,0,0,0
620,145,0,0,0
622,145,0,0,0
624,145,0,0,0
626,145,0,0,0
628,145,0,0,0
630,145,0,0,0
632,145,0,0,0
634,145,0,0,0
636,145,0,0,0
638,145,0,0,0
640,145,0,0,0
642,145,0,0,0
644,140,0,0,0
646,140,0,0,0
648,140,0,0,0
650,140,0,0,0
652,140,0,0,0
654,140,0,0,0
656,140,0,0,0
658,140,0,0,0
660,138,0,0,0
662,138,0,0,0
664,138,0,0,0
666,139,0,0,0
668,140,0,0,0
670,140,0,0,0
672,140,0,0,0
674,140,0,0,0
676,140,0,0,0
678,140,0,0,0
680,140,0,0,0
682,140,0,0,0
684,140,0,0,0
686,140,0,0,0
688,140,0,0,0
690,140,0,0,0
692,140,0,0,0
694,140,0,0,0
696,140,0,0,0
698,140,0,0,0
700,140,0,0,0
702,140,0,0,0
704,142,0,0,0
706,143,0,0,0
708,143,0,0,0
710,143,0,0,0
712,143,0,0,0
714,143,0,0,0
716,143,0,0,0
718,143,0,0,0
720,143,0,0,0
722,143,0,0,0
724,145,0,0,0
726,148,0,0,0
728,148,0,0,0
730,148,0,0,0
732,148,0,0,0
734,148,0,0,0
736,148,0,0,0
738,148,0,0,0
740,148,0,0,0
742,148,0,0,0
744,144,0,0,0
746,144,0,0,0
748,144,0,0,0
