[Timex Trainer Data File]
[session data]
version=1.0
Sessiondate=1/2/2005 8:27:02 PM
sportName=Running
sportID=3
distanceunit=mi
avgspeedunit=0
maxspeedunit=0
avgpaceunits=0
maxpaceunits=0
distance=5.21
duration=2580
description=Sample Workout - Speed & Distance Only
sessionType=1
maxHR=0
maxSpeed=18.1
avgHR=0
avgSpeed=6.9
fromDataRecorder=True
TimeZone1=0
TimeZone2=0
TimeZone3=0
TimeZone4=0
TimeZone5=0

[recorded]
duration(s),hr,speed(mph),distance(mi),data_flag
671.16,0,6.3,1.241,1
674.73,0,5.5,1.246,1
678.3,0,1,1.247,1
681.87,0,0,1.248,1
685.44,0,12.8,1.256,1
689.01,0,12.9,1.268,1
692.58,0,11.8,1.28,1
696.15,0,13.6,1.293,1
699.72,0,13.4,1.306,1
703.29,0,13.2,1.319,1
706.86,0,12.7,1.332,1
710.43,0,12.2,1.342,1
714,0,15.9,1.357,1
717.57,0,12.7,1.37,1
721.14,0,8.5,1.382,1
724.71,0,4.4,1.387,1
728.28,0,5,1.392,1
731.85,0,4.5,1.397,1
735.42,0,4.3,1.401,1
738.99,0,4.2,1.406,1
742.56,0,4.4,1.411,1
746.13,0,4.7,1.416,1
749.7,0,5,1.421,1
753.27,0,5.3,1.426,1
756.84,0,4.3,1.431,1
760.41,0,4.5,1.436,1
763.98,0,2.6,1.439,1
767.55,0,2.7,1.442,1
771.12,0,1.2,1.444,1
774.69,0,8.8,1.449,1
778.26,0,12.9,1.46,1
781.83,0,12.7,1.472,1
785.4,0,11.9,1.484,1
788.97,0,12.1,1.496,1
792.54,0,10.9,1.507,1
796.11,0,13.3,1.521,1
799.68,0,13,1.534,1
803.25,0,12.4,1.548,1
806.82,0,12.2,1.561,1
810.39,0,11.1,1.574,1
813.96,0,8.3,1.585,1
817.53,0,6.4,1.593,1
821.1,0,5.5,1.599,1
824.67,0,5.3,1.604,1
828.24,0,4.8,1.61,1
831.81,0,6.1,1.617,1
835.38,0,5.2,1.623,1
838.95,0,4.9,1.629,1
842.52,0,4.5,1.635,1
846.09,0,4.5,1.64,1
849.66,0,4.1,1.645,1
853.23,0,2.8,1.649,1
856.8,0,2.7,1.652,1
860.37,0,1.9,1.655,1
863.94,0,4.3,1.657,1
867.51,0,11.8,1.666,1
871.08,0,10.3,1.676,1
874.65,0,11.2,1.687,1
878.22,0,12.2,1.7,1
881.79,0,12.4,1.713,1
885.36,0,12.3,1.726,1
888.93,0,12.3,1.739,1
892.5,0,12.3,1.749,1
896.07,0,12.5,1.761,1
899.64,0,9.5,1.772,1
903.21,0,9.5,1.782,1
906.78,0,9.5,1.791,1
910.35,0,6.5,1.798,1
913.92,0,5.5,1.804,1
917.49,0,5.1,1.81,1
921.06,0,5,1.815,1
924.63,0,5.4,1.82,1
928.2,0,5.4,1.825,1
931.77,0,5.6,1.831,1
935.34,0,5.3,1.835,1
938.91,0,5,1.84,1
942.48,0,5,1.845,1
946.05,0,2.3,1.847,1
949.62,0,1.2,1.848,1
953.19,0,2.8,1.849,1
956.76,0,4.6,1.854,1
960.33,0,13.9,1.864,1
963.9,0,13.4,1.879,1
967.47,0,13,1.892,1
971.04,0,12.7,1.905,1
974.61,0,12.4,1.918,1
978.18,0,11.9,1.931,1
981.75,0,12.2,1.942,1
985.32,0,12.9,1.954,1
988.89,0,11,1.966,1
992.46,0,7.1,1.975,1
996.03,0,4.5,1.981,1
999.6,0,4.3,1.985,1
1003.17,0,4.2,1.989,1
1006.74,0,4.4,1.994,1
1010.31,0,4.5,1.998,1
1013.88,0,4.5,2.003,1
1017.45,0,5,2.008,1
1021.02,0,5,2.013,1
1024.59,0,5,2.017,1
1028.16,0,4.7,2.022,1
1031.73,0,4.7,2.027,1
1035.3,0,4.7,2.031,1
1038.87,0,0,2.034,1
1042.44,0,0,2.034,1
1046.01,0,11.6,2.042,1
1049.58,0,10.7,2.054,1
1053.15,0,12.2,2.065,1
1056.72,0,12.2,2.077,1
1060.29,0,11.2,2.089,1
1063.86,0,16.5,2.104,1
1067.43,0,13.8,2.118,1
1071,0,13.5,2.133,1
1074.57,0,13.5,2.146,1
1078.14,0,12.1,2.159,1
1081.71,0,9.5,2.17,1
1085.28,0,6.6,2.177,1
1088.85,0,5.5,2.183,1
1092.42,0,4.9,2.187,1
1095.99,0,4.4,2.191,1
1099.56,0,4.8,2.196,1
1103.13,0,4.2,2.2,1
1106.7,0,4.3,2.204,1
1110.27,0,4,2.209,1
1113.84,0,3.6,2.213,1
1117.41,0,3.4,2.217,1
1120.98,0,3.9,2.221,1
1124.55,0,4.7,2.226,1
1128.12,0,3.2,2.23,1
1131.69,0,2.7,2.233,1
1135.26,0,10.8,2.24,1
1138.83,0,13,2.253,1
1142.4,0,13.4,2.267,1
1145.97,0,13.3,2.28,1
1149.54,0,13,2.294,1
1153.11,0,12.8,2.306,1
1156.68,0,12.1,2.319,1
1160.25,0,11.5,2.331,1
1163.82,0,11.5,2.343,1
1167.39,0,11.4,2.354,1
1170.96,0,6.3,2.364,1
1174.53,0,5.1,2.37,1
1178.1,0,4.4,2.375,1
1181.67,0,4.4,2.379,1
1185.24,0,3.9,2.383,1
1188.81,0,3.6,2.387,1
1192.38,0,3.8,2.39,1
1195.95,0,3.8,2.394,1
1199.52,0,3.9,2.398,1
1203.09,0,4,2.402,1
1206.66,0,3.8,2.406,1
